EquipmentList_ID;EquipmentList_IDENT;EquipmentList_FSTName
2;M000000001;M181-1
3;M000000002;M181-2
4;M000000003;M182-1
5;M000000004;M182-2
6;M000000005;M182-3
7;M000000006;M182-4
8;M000000007;M183-1
9;M000000008;M183-2
10;M000000009;M183-3
11;M000000010;M183-4
12;M000000011;M183-5
13;M000000012;M184-1
14;M000000013;M184-2
15;M000000014;M184-3
16;M000000015;M184-4
17;M000000016;M184-5
18;M000000017;M184-6
19;M000000090;M184-7
20;M000000089;M184-8
21;M000000093;M184-9
22;M000000099;M184-10
23;M000000102;M184-11
24;M000000106;M184-12
25;M000000107;M184-13
26;M000000108;M184-14
27;M000000109;M184-15
28;M000000088;M185-1
29;M000000119;M186-1
30;M000000120;M186-2
31;M000000125;M186-3
32;M000000127;M186-4
33;M000000128;M186-5
34;R000000001;Rohr 1 AH
35;R000000002;Rohr 2 AH
36;R000000003;Rohr 3 AH
37;R000000004;Rohr 4 AH
38;R000000005;Rohr 5 AH
39;R000000006;Rohr 6 AH
40;R000000007;Rohr 7 AH
41;R000000008;Rohr 8 AH
42;R000000009;Rohr 9 AH
43;R000000010;Rohr 10 AH
44;R000000011;Rohr 11 AH
45;R000000012;Rohr 12 AH
46;R000000013;Rohr 13 AH
47;R000000014;Rohr 14 AH
48;R000000015;Rohr  15 AH
49;R000000018;Rohr 01
50;R000000019;Rohr 02
51;R000000020;Rohr 03
52;R000000021;Rohr 04
53;R000000022;Rohr 05
54;R000000023;Rohr 06
55;R000000024;Rohr 07
56;R000000025;Rohr 08
57;R000000026;Rohr 09
58;R000000027;Rohr 10
59;R000000028;Rohr 11
60;R000000029;Rohr 12
61;R000000030;Rohr 13
62;R000000031;Rohr 14
63;R000000032;Rohr 15
64;R000000033;Rohr 16
65;R000000034;Rohr 17
66;R000000035;Rohr 18
67;R000000036;Rohr 19
68;R000000037;Dummy
69;R000000038;Rohr 24
70;R000000039;Rohr 25
71;R000000087;Rohr 20
72;R000000091;Rohr 21
73;R000000095;Rohr 22
74;R000000096;Rohr 23
75;R000000100;Rohr 30
76;R000000101;Rohr 31
77;R000000102;Rohr 32
78;R000000103;Rohr 33
79;R000000104;Rohr 34
80;R000000105;Rohr 35
81;R000000106;Rohr 36
82;R000000107;Rohr 37
83;R000000108;Rohr 38
84;R000000109;Rohr 39
85;S000000000;Silo Dummy
86;S000000001;Silo TS 01
87;S000000002;Silo TS 02
88;S000000003;Silo TS 03
89;S000000004;Silo TS 04
90;S000000005;Silo TS 05
91;S000000006;Silo TS 06
92;S0000000C1;Silo C1 mobil
93;S0000000C2;Silo C2 mobil
94;S0000000C3;Silo C3 mobil
95;S0000000C4;Silo C4 mobil
96;S0000000C5;Silo C5 mobil
97;S0000000X1;Silo TPV
98;M000000049;M191-1
99;M000000050;M191-2
100;M000000051;M191-3
101;M000000052;M191-4
102;M000000053;M191-5
104;M000000055;M191-7
105;M000000056;M191-8
106;M000000057;M191-9
107;M000000058;M191-10
108;M000000060;M192-1
109;M000000061;M192-2
110;M000000062;M192-3
111;M000000063;M192-4
112;M000000064;M192-5
113;M000000065;M192-6
114;M000000066;M192-7
115;M000000067;M192-8
116;M000000085;M192-9
117;M000000086;M192-10
118;M000000097;M192-11
119;M000000098;M192-12
120;M000000100;M192-13
121;M000000101;M192-14
122;M000000103;M192-15
123;M000000104;M192-16
124;M000000113;M192-17
125;M000000114;M192-18
126;M000000117;M192-19
127;M000000121;M192-20
128;M000000122;M192-21
129;M000000123;M192-22
130;M000000124;M192-23
131;M000000059;M193-1
132;M000000110;M194-1
133;M000000068;M195-1
134;M000000069;M195-2
135;M000000070;M195-3
136;M000000071;M195-4
137;M000000072;M195-5
138;M000000038;M198-1
139;M000000039;M198-2
140;M000000040;M198-3
141;M000000041;M198-4
142;M000000042;M198-5
143;M000000043;M198-6
145;M000000047;M199-1
146;M000000048;M199-2
147;M000000115;M220-1
148;M000000126;M220-2
149;M000000129;M220-3
150;M000000092;M222-1
151;M000000116;M223-1
152;M000000044;M230-1
153;M000000076;M355-5 
154;M000000077;M155-6
157;M000000111;M170-3
158;M000000112;M170-4
159;M000000118;M222-H
160;M000000084;M190-3
162;M000000073;M160-1
163;M000000074;M161-2
164;M000000075;M161-5
165;;35
166;;36
167;;37
168;;38
169;;39
170;;40
171;;41
172;;42
173;;43
174;;44
175;;50
176;;51
177;;52
178;;53
179;;54
180;;55
181;;56
182;;57
183;;58
184;;59
185;;60
186;;61
187;;62
188;;63
189;;64
190;;65
191;;66
192;;67
193;;68
194;;69
195;;70
196;;71
197;;72
198;;73
199;;74
200;;75
201;;76
202;;77
203;;78
204;;79
205;;80
206;;81
207;;82
208;;83
209;;84
210;;85
211;;86
212;;87
213;;88
214;;89
215;;92
216;;93
217;;94
218;;95
219;;96
220;;97
221;;98
222;;99
223;;100
224;;101
225;;102
226;;103
227;;104
228;;1
229;;2
230;;3
231;;4
232;;5
233;;6
234;;7
235;;8
236;;9
237;;10
238;;11
239;;12
240;;13
241;;14
242;;15
243;;16
244;;17
245;;18
246;;19
247;;20
248;;21
249;;22
250;;23
251;;24
252;;25
253;;26
254;;27
255;;28
256;;29
257;;30
258;;31
259;;32
260;;33
261;;34
262;;35
263;;36
264;;37
265;;38
266;;39
267;;40
268;;1
269;;2
270;;3
271;;4
272;;5
273;;6
274;;7
275;;8
276;;9
277;;10
278;;11
279;;12
280;;13
281;;14
282;;15
283;;16
284;;17
285;;18
286;;19
287;;20
288;;21
289;;22
290;;23
291;;24
292;;25
293;;26
294;;27
295;;28
296;;29
297;;30
298;;31
299;;32
300;;33
301;;34
302;;35
303;;36
304;;37
305;;nicht definiert
306;;nicht definiert
307;;nicht definiert
308;;nicht definiert
309;;nicht definiert
310;;nicht definiert
311;;nicht definiert
312;;nicht definiert
313;;nicht definiert
314;;nicht definiert
315;;nicht definiert
316;;nicht definiert
317;;nicht definiert
318;;nicht definiert
319;;nicht definiert
320;;nicht definiert
321;;nicht definiert
322;;nicht definiert
323;;nicht definiert
324;;nicht definiert
325;;nicht definiert
326;;nicht definiert
327;;nicht definiert
328;;nicht definiert
329;;nicht definiert
330;;nicht definiert
331;;nicht definiert
332;;nicht definiert
333;;nicht definiert
334;;nicht definiert
335;;nicht definiert
336;;nicht definiert
337;;nicht definiert
338;;nicht definiert
339;;nicht definiert
340;;nicht definiert
341;;nicht definiert
342;;nicht definiert
343;;nicht definiert
344;;nicht definiert
345;;nicht definiert
346;;nicht definiert
347;;nicht definiert
348;;nicht definiert
349;;nicht definiert
350;;nicht definiert
351;;nicht definiert
352;;nicht definiert
353;;nicht definiert
354;;nicht definiert
355;;nicht definiert
356;;nicht definiert
357;;nicht definiert
358;;nicht definiert
359;;nicht definiert
360;;nicht definiert
361;;nicht definiert
362;;nicht definiert
363;;nicht definiert
364;;nicht definiert
365;;nicht definiert
366;;nicht definiert
367;;nicht definiert
368;;nicht definiert
369;;nicht definiert
370;;nicht definiert
375;M000000130;M210-1
376;;Prüftisch
377;;31
378;;30
379;;46
380;;34
381;;38
